Name,Ticker,Country,Industry,Sector,Business Summary,Beta,Trailing PE,Forward PE,Price to Book,Market Cap,Shares Outstanding,Book Value,Trailing EPS,Forward EPS,PEG Ratio,Enterprise to Revenue,Enterprise to EBITDA,Total Revenue,Debt to Equity,Revenue per Share,Return on Assets,Return on Equity
"Adicet Bio, Inc.",ACET,United States,Biotechnology,Healthcare,"Adicet Bio, Inc., a clinical stage biotechnology company, discovers and develops allogeneic gamma delta T cell therapies for autoimmune diseases and cancer. The company offers gamma delta T cells engineered with chimeric antigen receptors (CARs) to facilitate durable activity in patients. Its lead product candidate is ADI-001, an allogeneic gamma delta T cell therapy expressing a CAR targeting CD20, which is in Phase I clinical trial for the treatment of autoimmune diseases and relapsed or refractory aggressive B cell non-Hodgkin's lymphoma. The company is also developing ADI-270, an armored gamma delta CAR T cell product candidate targeting renal cell carcinoma for treating other CD70+ solid tumor and hematological malignancies indications. The company was founded in 2014 and is based in Boston, Massachusetts.",1.69,N/A,-1.0065789,0.5362776,126073528,82401000,2.853,-2.59,-1.52,-0.04,N/A,0.649,N/A,8.137,N/A,-0.29298002,-0.57908
"Acadia Healthcare Company, Inc.",ACHC,United States,Medical Care Facilities,Healthcare,"Acadia Healthcare Company, Inc. provides behavioral healthcare services in the United States and Puerto Rico. The company develops and operates acute inpatient psychiatric facilities, specialty treatment facilities comprising residential recovery facilities and eating disorder facilities, comprehensive treatment centers, and residential treatment centers, as well as facilities offering outpatient behavioral healthcare services for the behavioral healthcare and recovery needs of communities. Acadia Healthcare Company, Inc. was founded in 2005 and is headquartered in Franklin, Tennessee.",1.318,N/A,19.735516,2.4327009,7425754624,92867200,32.207,-0.08,3.97,2.16,3.037,13.813,3057224960,64.408,33.467,0.061300002,0.00126
Achilles Therapeutics plc,ACHL,United Kingdom,Biotechnology,Healthcare,"Achilles Therapeutics plc, a biopharmaceutical company, develops precision T cell therapies to treat solid tumors. Its platform identifies mutations formed early in the development of cancer. The company offers PELEUS, a proprietary AI-powered bioinformatics platform, used to identify clonal neoantigens in a patient. It also develops CHIRON, which is in Phase I/IIa clinical trial for use in the treatment of advanced non-small cell lung cancer; and THETIS, a product candidate in Phase I/IIa clinical trial for use in the treatment of metastatic or recurrent melanoma. The company was formerly known as Achilles TX Limited and changed its name to Achilles Therapeutics Plc in February 2021. Achilles Therapeutics Plc was founded in 2016 and is headquartered in London, the United Kingdom.",1.317,N/A,-0.76,0.267758,31665204,41087900,2.81,-1.59,-0.99,-0.16,N/A,0.906,N/A,3.865,N/A,-0.26819,-0.44219002
"Achieve Life Sciences, Inc.",ACHV,Canada,Biotechnology,Healthcare,"Achieve Life Sciences, Inc., a clinical-stage pharmaceutical company, develops and commercializes cytisinicline for smoking cessation and nicotine addiction. The company offers cytisinicline, a plant-based alkaloid that interacts with nicotine receptors in the brain that reduce the severity of nicotine withdrawal symptoms. It has license and supply agreement with Sopharma AD and University of Bristol Achieve Life Sciences, Inc. is based in Vancouver, Canada.",1.546,N/A,-4.361905,3.7205524,157283152,34341300,1.231,-1.07,-1.05,-0.28,N/A,-4.519,N/A,41.729,N/A,-0.33844003,-1.05952
AC Immune SA,ACIU,Switzerland,Biotechnology,Healthcare,"AC Immune SA, a clinical stage biopharmaceutical company, discovers, designs, and develops medicines and diagnostic products for the prevention and treatment of neurodegenerative diseases associated with protein misfolding. The company's SupraAntigen and Morphomer platforms are designed to generate biologics and small molecules, which selectively interact with misfolded proteins that are common in a range of neurodegenerative diseases. It is developing Crenezumab, a humanized, conformation-specific monoclonal antibody used to slow Alzheimer's disease (AD) progression; and Semorinemab, an investigational monoclonal anti-Tau antibody that targets the N-terminal portion of the Tau protein and is designed to bind to Tau and slow its spread between neurons for the treatment of AD. The company is also developing ACI-24.060 for the treatment of down syndrome-related AD; ACI-7104.056, to treat Parkinson's disease; and ACI-35.030, designs to stimulate a patient's immune system to produce antibodies against pathological phosphorylated Tau. In addition, it is developing diagnostic programs, consisting of PI-2620, a Tau diagnostic for AD, as well as non-AD Tauopathies; and ACI-12589, a-sync PET tracer that supports the differential diagnosis of multiple system atrophy from other neurodegenerative disease. Further, the company is researching and developing Morphomer Tau aggregation inhibitors to evaluate candidates in AD and NeuroOrphan Tauopathies. Additionally, it has discovery and preclinical stage molecules targeting range of neurodegenerative diseases, which include diagnostics targeting TDP-43, alpha-synuclein, and NLRP3. The company has license agreements and collaborations with Genentech, Inc.; Janssen Pharmaceuticals, Inc.; Life Molecular Imaging SA; and Eli Lilly and Company. AC Immune SA was incorporated in 2003 and is headquartered in Lausanne, Switzerland.",1.268,N/A,-6.7234044,2.548387,312651360,98940304,1.24,-0.75,-0.47,N/A,9.212,-2.442,15488000,2.616,0.167,-0.19058001,-0.46058
"Arcellx, Inc.",ACLX,United States,Biotechnology,Healthcare,"Arcellx, Inc., together with its subsidiary, engages in the development of various immunotherapies for patients with cancer and other incurable diseases in the United States. The company's lead ddCAR product candidate is anitocabtagene autoleucel, which is in phase 2 clinical trial for the treatment of patients with relapsed or refractory multiple myeloma (rrMM). It also develops ACLX-001, a product candidate in Phase 1 clinical trials targeting BCMA to treat rrMM; and ACLX-002, which is in Phase 1 clinical trials that targets CD123 for treating relapsed or refractory acute myeloid leukemia (AML) and myelodysplastic syndrome (MDS). In addition, the company's preclinical product includes ACLX-003 for the treatment of AML and MDS. Further, it focuses on the development of product candidates for solid tumor programs. It has a strategic alliance with Kite Pharma, Inc. to co-develop and co-commercialize anitocabtagene autoleucel. The company was formerly known as Encarta Therapeutics, Inc. and changed its name to Arcellx, Inc. in January 2016. Arcellx, Inc. was incorporated in 2014 and is headquartered in Redwood City, California.",0.225,N/A,-31.26087,7.9150157,3865035008,53755700,9.084,-1.04,-2.3,-0.64,23.646,-44.202,144746000,15.25,2.843,-0.074260004,-0.13804
"Aclarion, Inc.",ACON,United States,Health Information Services,Healthcare,"Aclarion, Inc., a healthcare technology company, leverages for Magnetic Resonance Spectroscopy (MRS) in the United States. It develops NOCISCAN Post-Processor suite of software applications comprising NOCICALC that receives the raw un-processed NOCISCAN MRS exam data and post-processes that raw data into final spectra and performs various degenerative pain biomarker; and NOCIGRAM, a clinical decision support software. The company was formerly known as Nocimed, Inc. and changed its name to Aclarion, Inc. in December 2021. Aclarion, Inc. was incorporated in 2008 and is based in Broomfield, Colorado.",0.475,N/A,-0.38,1.2349999,2126835,8610670,0.2,-4.13,-0.65,N/A,31.165,-0.371,53947,47.321,0.015,-1.15333,-7.14178
N/A,ACONW,United States,Health Information Services,Healthcare,"Aclarion, Inc., a healthcare technology company, leverages for Magnetic Resonance Spectroscopy (MRS) in the United States. It develops NOCISCAN Post-Processor suite of software applications comprising NOCICALC that receives the raw un-processed NOCISCAN MRS exam data and post-processes that raw data into final spectra and performs various degenerative pain biomarker; and NOCIGRAM, a clinical decision support software. The company was formerly known as Nocimed, Inc. and changed its name to Aclarion, Inc. in December 2021. Aclarion, Inc. was incorporated in 2008 and is based in Broomfield, Colorado.",0.475,N/A,N/A,0.1515,N/A,N/A,0.2,-6.576,N/A,N/A,N/A,N/A,53947,47.321,0.015,-1.15333,-7.14178
"Aclaris Therapeutics, Inc.",ACRS,United States,Diagnostics & Research,Healthcare,"Aclaris Therapeutics, Inc. a clinical-stage biopharmaceutical company, engages in the development of novel drug candidates for immune-inflammatory diseases in the United States. The company operates through two segments, Therapeutics and Contract Research. The Therapeutics segment is involved in identifying and developing therapies to address significant unmet needs for immuno-inflammatory diseases. The Contract Research segment provides laboratory services. It develops Zunsemetinib (ATI-450), an MK2 inhibitor which is under Phase 1b/2 trials for the treatment of metastatic breast and pancreatic cancer; ATI-1777, a soft JAK 1/3 inhibitor, completed Phase 2b trails for the treatment of moderate to severe atopic dermatitis and other dermatologic conditions; and ATI-2138, an oral covalent inhibitor of ITK and JAK3 inhibitor under Phase 1 trials as a treatment for T cell-mediated autoimmune diseases. The company was incorporated in 2012 and is headquartered in Wayne, Pennsylvania.",0.282,N/A,-1.8769232,0.6503198,87040416,71344600,1.876,-0.82,-0.65,-0.03,-0.663,0.259,32015000,2.104,0.451,-0.25957,-0.37425998
"Acrivon Therapeutics, Inc.",ACRV,United States,Biotechnology,Healthcare,"Acrivon Therapeutics, Inc., a clinical stage biopharmaceutical company, engages in developing oncology medicines for the patients whose tumors are predicted to be sensitive to each specific medicine by utilizing its proteomics-based patient responder identification platform. The company's Acrivon Predictive Precision Proteomics, a precision medicine platform enables the creation of drug specific proprietary OncoSignature companion diagnostics that are used to identify the patients to benefit from its drug candidates. Its lead clinical candidate is ACR-368, a selective small molecule inhibitor targeting CHK1 and CHK2, which is in Phase II clinical trial across various tumor types, including platinum-resistant ovarian, endometrial, and bladder cancer. The company is also developing its preclinical stage pipeline programs targeting critical nodes in the DNA damage response, or DDR, pathways; and ACR-2316, a dual WEE1/PKMYT1 inhibitor. Acrivon Therapeutics, Inc. was incorporated in 2018 and is based in Watertown, Massachusetts.",N/A,N/A,-3.5037036,1.3558836,292997024,30972200,6.977,-2.72,-2.7,N/A,N/A,-1.544,N/A,1.954,N/A,-0.24414,-0.37784
"Acasti Pharma, Inc.",ACST,United States,Biotechnology,Healthcare,"Acasti Pharma Inc. engages in the development and commercialization of pharmaceutical products for rare and orphan diseases in Canada. The company's lead product candidate is the GTX-104, an intravenous infusion to treat subarachnoid hemorrhage. It also develops GTX-102, an oral mucosal betamethasone spray for the treatment of ataxia-telangiectasia; and GTX-101, a topical bioadhesive film-forming bupivacaine spray for postherpetic neuralgia. The company was incorporated in 2002 and is headquartered in Princeton, New Jersey.",1.548,N/A,-1.8478125,0.40396243,24842642,10139900,5.855,-1.43,-1.28,N/A,N/A,-0.345,N/A,N/A,N/A,-0.116210006,-0.18556999
"Actuate Therapeutics, Inc.",ACTU,United States,Biotechnology,Healthcare,"Actuate Therapeutics, Inc., a clinical-stage biopharmaceutical company, focuses on developing therapies for the treatment of cancers. The company's lead product candidate is Elraglusib Injection, a novel glycogen synthase kinase-3 inhibitor to treat metastatic pancreatic ductal adenocarcinoma. It also develops Elraglusib for the treatment of Ewing sarcoma, metastatic melanoma, and colorectal cancer. The company was formerly known as Apotheca Therapeutics, Inc. and changed its name to Actuate Therapeutics, Inc. in October 2015. The company was incorporated in 2015 and is based in Fort Worth, Texas.",N/A,N/A,N/A,N/A,152128336,19111600,-63.743,-1.85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Acurx Pharmaceuticals, Inc.",ACXP,United States,Biotechnology,Healthcare,"Acurx Pharmaceuticals, Inc., a clinical stage biopharmaceutical company, develops antibiotics to treat bacterial infections. The company's lead antibiotic candidate is ibezapolstat, a novel mechanism of action that targets the polymerase IIIC enzyme that is in Phase 2b clinical trial to treat patients with clostridium difficile infections. It also develops ACX-375C, a potential oral and parenteral treatment targeting gram-positive bacteria, including methicillin-resistant staphylococcus aureus, vancomycin-resistant enterococcus, and penicillin-resistant streptococcus pneumonia. Acurx Pharmaceuticals, Inc. was incorporated in 2017 and is headquartered in Staten Island, New York.",-1.72,N/A,-1.4193549,10.280374,36709420,16245100,0.214,-1.13,-1.55,N/A,N/A,N/A,N/A,N/A,N/A,-1.3221699,-3.46942
Adagene Inc.,ADAG,China,Biotechnology,Healthcare,"Adagene Inc., a clinical stage biotechnology company, engages in the research, development, and production of monoclonal antibody drugs for cancers. The company's product candidates include ADG106, a human ligand-blocking agonistic anti- CD137 IgG4 monoclonal antibodies (mAbs) that is in Phase 1b/2 clinical trials for the treatment advanced solid tumors and non-Hodgkin's lymphoma; ADG126, a masked fully-human anti-CTLA-4 mAb that is in Phase 1 clinical trial for the treatment advanced/metastatic solid tumors; and ADG116, a human ligand-blocking anti-CTLA-4 mAb, which is in Phase 1b/2 clinical development for the treatment of advanced/metastatic solid tumors. It also offers ADG104, an anti-PD-L1 mAb that is in Phase 2 clinical development; ADG125, a novel anti-CSF-1R mAb, which is in Phase I clinical trial; ADG206, a masked, Fc engineered anti-CD137 agonistic POWERbody; ADG153, a masked anti-CD47 IgG1 SAFEbody, which is in preclinical for the treatment hematologic and solid tumors; ADG138, novel HER2xCD3 POWERbody, which is in preclinical for the treatment HER2-expressing solid tumors; and ADG152, a v POWERbody, which is in preclinical stage for the treatment off-tumor toxicities, as well as develops anti-CD28 bispecific POWERbody TCEs. The company was incorporated in 2011 and is headquartered in Suzhou, China.",0.65,N/A,-4.1666665,2.3474178,132812400,44270800,1.278,-0.74,-0.72,N/A,111.716,-2.522,815746,36.74,0.019,-0.19587,-0.45701
Adaptimmune Therapeutics plc,ADAP,United Kingdom,Biotechnology,Healthcare,"Adaptimmune Therapeutics plc, a clinical-stage biopharmaceutical company, provides novel cell therapies primarily to cancer patients in the United States and the United Kingdom. It develops SPEARHEAD-1 that is in phase II clinical trials with ADP-A2M4 for synovial sarcoma; SURPASS-3 that is in phase II clinical trial with ADP-A2M4CD8 for people with platinum resistant ovarian cancer; and SURPASS that is in phase I clinical trials in patients with head and neck, and urothelial cancers. The company has strategic collaboration and license agreement with Genentech, Inc. and F. Hoffman-La Roche Ltd to develop personalized allogeneic and allogeneic T-cell therapies; research, collaboration, and license agreement with Universal Cells, Inc.; third-party collaborations with Noile-Immune and Alpine Immune Sciences; and strategic alliance agreement with the MD Anderson Cancer Center. Adaptimmune Therapeutics plc was founded in 2008 and is headquartered in Abingdon, the United Kingdom.",2.301,N/A,-3.0930233,3.5278516,340140864,255744992,0.377,-0.36,-0.43,-2.54,13.243,-25.705,141459008,49.18,0.595,-0.15837,-0.65044
"Adagio Medical Holdings, Inc",ADGM,United States,Medical Devices,Healthcare,"Adagio Medical Holdings, Inc., a developmental stage medical device company, focuses on the development and commercialization of ablation technologies for the treatment of cardiac arrhythmias. It offers treatment for cardiac arrhythmias, including atrial fibrillation, atrial flutter, and ventricular tachycardia. The company's product portfolio includes iCLAS atrial ultra-low temperature cryoablation (ULTC) catheter and accessories; vCLAS ventricular ULTC catheter; and Cryopulse atrial pulsed-field cryoablation catheter and accessories. The company is based in Laguna Hills, California.",-0.006,N/A,N/A,N/A,38436252,3799020,-181.372,-0.26,N/A,N/A,523.227,-4.74,266000,N/A,0.348,N/A,N/A
"Adial Pharmaceuticals, Inc",ADIL,United States,Biotechnology,Healthcare,"Adial Pharmaceuticals, Inc., a clinical-stage biopharmaceutical company, focuses on the development of therapeutics for the treatment or prevention of addiction and related disorders. The company's lead product is AD04, a serotonin-3 antagonist, which is in Phase 3 clinical trials for the treatment of alcohol use disorder. It is also involved in the development of drug candidates for non-opioid pain reduction and other diseases and disorders. The company was founded in 2010 and is based in Glen Allen, Virginia.",1.308,N/A,-0.9137931,1.064257,6787582,6403380,0.996,-3.99,-1.16,N/A,N/A,-0.481,N/A,N/A,N/A,-1.04181,-3.20963
ADMA Biologics Inc,ADMA,United States,Biotechnology,Healthcare,"ADMA Biologics, Inc., a biopharmaceutical company, engages in developing, manufacturing, and marketing specialty plasma-derived biologics for the treatment of immune deficiencies and infectious diseases in the United States and internationally. The company offers BIVIGAM, an intravenous immune globulin (IVIG) product indicated for the treatment of primary humoral immunodeficiency (PI); ASCENIV, an IVIG product for the treatment of PI; and Nabi-HB for the treatment of acute exposure to blood containing Hepatitis B surface antigen and other listed exposures to Hepatitis B. It develops a pipeline of plasma-derived therapeutics, including products related to the methods of treatment and prevention of S. pneumonia infection for an immunoglobulin. In addition, it operates source plasma collection facilities. The company sells its products through independent distributors, drug wholesalers, specialty pharmacies, and other alternate site providers. ADMA Biologics, Inc. was incorporated in 2004 and is headquartered in Ramsey, New Jersey.",0.546,124.71428,26.0597,21.60891,4288717056,233083008,0.808,0.14,0.67,N/A,12.484,43.355,330244000,75.104,1.447,0.15071,0.20768
Adaptive Biotechnologies Corpor,ADPT,United States,Biotechnology,Healthcare,"Adaptive Biotechnologies Corporation, a commercial-stage company, develops an immune medicine platform for the diagnosis and treatment of various diseases. The company offers immunosequencing platform which combines a suite of proprietary chemistry, computational biology, and machine learning to generate clinical immunomics data to decode the adaptive immune system. It also provides clonoSEQ diagnostic test which detects and monitors the remaining number of cancer cells that are present in a patient's body during and after treatment, known as Minimal Residual Disease (MRD). The company offers products and services for life sciences research, clinical diagnostics, and drug discovery applications. Adaptive Biotechnologies Corporation has strategic collaborations with Genentech, Inc. for the development, manufacture, and commercialization of neoantigen directed T cell therapies for the treatment of a range of cancers; and Microsoft Corporation to develop diagnostic tests for the early detection of various diseases from a single blood test. The company was formerly known as Adaptive TCR Corporation and changed its name to Adaptive Biotechnologies Corporation in December 2011. Adaptive Biotechnologies Corporation was incorporated in 2009 and is headquartered in Seattle, Washington.",1.346,N/A,-4.669903,2.936508,716713984,147472000,1.638,-1.46,-1.03,-0.17,3.813,-3.922,168766000,93.716,1.158,-0.17181,-0.67014
"Aditxt, Inc.",ADTX,United States,Biotechnology,Healthcare,"Aditxt, Inc., a biotech company, engages in the development and commercialization of technologies that focus on improving the health through monitoring and modulating the immune systems. The company develops AditxtScore that allows individuals to understand, manage, and monitor their immune profiles in order to be informed about attacks on or by their immune system; and Apoptotic DNA Immunotherapy, a nucleic acid-based technology that utilizes an approach that mimics the way the body naturally induces tolerance to its tissues. It also develops ADI-100 for skin grafting, psoriasis, type 1 diabetes, and multiple sclerosis. Aditxt, Inc. has a license agreement with Loma Linda University and Leland Stanford Junior University. The company was formerly known as ADiTx Therapeutics, Inc. and changed its name to Aditxt, Inc. in July 2021. Aditxt, Inc. was incorporated in 2017 and is headquartered in Richmond, Virginia.",1.011,N/A,-0.07020372,0.24069238,3298856,3602860,3.293,-34.38,-11.29,N/A,32.093,-0.32,329739,126.761,0.303,-1.1760501,-34.93626
