Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CPB,Campbell Soup Company Common Stock,$49.78,0.64,1.302%,14862012395.00,United States,,1991958,Consumer Staples,Packaged Foods
CTVA,Corteva Inc. Common Stock ,$55.70,0.55,0.997%,38558157900.00,United States,2019,2491840,Consumer Staples,Farming/Seeds/Milling
CVS,CVS Health Corporation Common Stock,$57.53,1.42,2.531%,72371547403.00,United States,,7139226,Consumer Staples,Retail-Drug Stores and Proprietary Stores
DAR,Darling Ingredients Inc. Common Stock,$34.23,-0.16,-0.465%,5443389672.00,United States,1997,2618269,Consumer Staples,Packaged Foods
DDC,DDC Enterprise Limited Class A Ordinary Shares,$0.33,0.00,0.00%,7118100.00,,2023,1508724,Consumer Staples,Packaged Foods
DEO,Diageo plc Common Stock,$133.35,4.59,3.565%,74123442939.00,United Kingdom,,764297,Consumer Staples,Beverages (Production/Distribution)
DNUT,Krispy Kreme Inc. Common Stock,$11.52,0.27,2.40%,1953792000.00,United States,2021,1113296,Consumer Staples,Food Chains
DOLE,Dole plc Ordinary Shares,$15.89,0.32,2.055%,1508424654.00,Ireland,2021,892744,Consumer Staples,Farming/Seeds/Milling
EAST,Eastside Distilling Inc. Common Stock,$0.8438,0.0088,1.054%,1488032.00,United States,,358128,Consumer Staples,Beverages (Production/Distribution)
EDBL,Edible Garden AG Incorporated Common Stock,$0.95,-0.0105,-1.093%,3002372.00,United States,2022,17317,Consumer Staples,Farming/Seeds/Milling
EDBLW,Edible Garden AG Incorporated Warrant,$0.0136,0.0012,9.677%,42981.00,United States,2022,263,Consumer Staples,Farming/Seeds/Milling
FAMI,Farmmi Inc. Ordinary Shares,$0.2241,-0.0107,-4.557%,2393388.00,China,2018,465887,Consumer Staples,Packaged Foods
FARM,Farmer Brothers Company Common Stock,$2.635,0.025,0.958%,56031502.00,United States,,110409,Consumer Staples,Packaged Foods
FDP,Fresh Del Monte Produce Inc. Common Stock,$28.48,0.41,1.461%,1365239039.00,Cayman Islands,1997,231426,Consumer Staples,Farming/Seeds/Milling
FIZZ,National Beverage Corp. Common Stock,$44.35,0.01,0.023%,4151685370.00,United States,,124405,Consumer Staples,Beverages (Production/Distribution)
FLO,Flowers Foods Inc. Common Stock,$22.87,0.04,0.175%,4816356546.00,United States,,732242,Consumer Staples,Packaged Foods
FMX,Fomento Economico Mexicano S.A.B. de C.V. Common Stock,$103.25,1.89,1.865%,184817500000.00,Mexico,,415209,Consumer Staples,Beverages (Production/Distribution)
FRPT,Freshpet Inc. Common Stock,$140.93,3.31,2.405%,6832713418.00,United States,2014,532284,Consumer Staples,Packaged Foods
GIS,General Mills Inc. Common Stock,$73.01,-0.11,-0.15%,40750215148.00,United States,,3810331,Consumer Staples,Packaged Foods
GNSS,Genasys Inc. Common Stock,$3.33,0.01,0.301%,148531367.00,United States,,252329,Consumer Staples,Consumer Electronics/Appliances
GO,Grocery Outlet Holding Corp. Common Stock,$16.27,-0.22,-1.334%,1594302604.00,United States,2019,2378158,Consumer Staples,Food Chains
HAIN,Hain Celestial Group Inc. (The) Common Stock,$8.13,0.24,3.042%,730436305.00,United States,,1098714,Consumer Staples,Packaged Foods
HRL,Hormel Foods Corporation Common Stock,$31.62,0.28,0.893%,17339257633.00,United States,,2398909,Consumer Staples,Meat/Poultry/Fish
HSY,The Hershey Company Common Stock,$198.46,-0.16,-0.081%,40146034406.00,United States,,699028,Consumer Staples,Specialty Foods
IMKTA,Ingles Markets Incorporated Class A Common Stock,$71.88,0.50,0.70%,1365315747.00,United States,1987,62887,Consumer Staples,Food Chains
IMTE,Integrated Media Technology Limited Ordinary Shares,$1.3699,-0.06,-4.196%,2920564.00,Australia,,5039,Consumer Staples,Consumer Electronics/Appliances
INGR,Ingredion Incorporated Common Stock,$134.88,0.43,0.32%,8775485678.00,United States,,239260,Consumer Staples,Packaged Foods
IVP,Inspire Veterinary Partners Inc. Class A Common Stock,$0.9293,-0.026,-2.722%,3330607.00,United States,2023,1520316,Consumer Staples,Farming/Seeds/Milling
JBSS,John B. Sanfilippo & Son Inc. Common Stock,$91.81,1.19,1.313%,1065314030.00,United States,1991,72961,Consumer Staples,Specialty Foods
JJSF,J & J Snack Foods Corp. Common Stock,$163.51,2.19,1.358%,3175972621.00,United States,1986,45975,Consumer Staples,Specialty Foods
JVA,Coffee Holding Co. Inc. Common Stock,$2.1698,0.0798,3.818%,12386518.00,United States,2005,36302,Consumer Staples,Packaged Foods
JXJT,JX Luxventure Limited Common Stock,$1.72,0.025,1.475%,10428690.00,China,2013,11439,Consumer Staples,Apparel
K,Kellanova Common Stock,$80.26,0.34,0.425%,27472018427.00,United States,,3569493,Consumer Staples,Packaged Foods
KDP,Keurig Dr Pepper Inc. Common Stock,$37.05,0.01,0.027%,50243000268.00,United States,,4851892,Consumer Staples,Beverages (Production/Distribution)
KHC,The Kraft Heinz Company Common Stock,$35.20,0.04,0.114%,42559577174.00,United States,,4608812,Consumer Staples,Packaged Foods
KLG,WK Kellogg Co Common Stock,$18.57,0.22,1.199%,1595189722.00,United States,2023,649012,Consumer Staples,Packaged Foods
KN,Knowles Corporation Common Stock,$16.86,0.05,0.297%,1490883991.00,United States,2014,575167,Consumer Staples,Consumer Electronics/Appliances
KO,Coca-Cola Company (The) Common Stock,$71.23,0.15,0.211%,306991908325.00,United States,,12335680,Consumer Staples,Beverages (Production/Distribution)
KOF,Coca Cola Femsa S.A.B. de C.V.  American Depositary Shares each representing 10 Units (each Unit consists of 3 Series B Shares and 5 Series L Shares),$85.39,0.45,0.53%,17939006668.00,Mexico,1993,211105,Consumer Staples,Beverages (Production/Distribution)
KOSS,Koss Corporation Common Stock,$7.37,0.69,10.329%,68539489.00,United States,,320540,Consumer Staples,Consumer Electronics/Appliances
KR,Kroger Company (The) Common Stock,$55.20,3.70,7.184%,39842853761.00,United States,,9954621,Consumer Staples,Food Chains
LANC,Lancaster Colony Corporation Common Stock,$177.63,2.83,1.619%,4889621010.00,United States,,96773,Consumer Staples,Packaged Foods
LMNR,Limoneira Co Common Stock,$25.39,1.025,4.207%,458337766.00,United States,,106975,Consumer Staples,Farming/Seeds/Milling
LND,Brasilagro Brazilian Agric Real Estate Co Sponsored ADR (Brazil),$4.79,0.0903,1.921%,490385868.00,Brazil,,39874,Consumer Staples,Farming/Seeds/Milling
LOCL,Local Bounti Corporation Common Stock,$2.41,0.11,4.783%,20831633.00,,2021,1181,Consumer Staples,Farming/Seeds/Milling
LQR,LQR House Inc. Common Stock,$0.6275,-0.0138,-2.152%,3382995.00,United States,2023,45697,Consumer Staples,Beverages (Production/Distribution)
LSF,Laird Superfood Inc. Common Stock,$3.90,0.185,4.98%,39991544.00,,2020,181454,Consumer Staples,Packaged Foods
LW,Lamb Weston Holdings Inc. Common Stock ,$63.87,1.30,2.078%,9176243330.00,United States,2016,1787610,Consumer Staples,Packaged Foods
LWAY,Lifeway Foods Inc. Common Stock,$20.89,-0.38,-1.787%,308978705.00,United States,,115511,Consumer Staples,Packaged Foods
MAMA,Mama's Creations Inc. Common Stock,$8.09,0.215,2.73%,304001918.00,United States,,473008,Consumer Staples,Specialty Foods
MDLZ,Mondelez International Inc. Class A Common Stock,$74.38,0.03,0.04%,99356633372.00,United States,,5807542,Consumer Staples,Packaged Foods
MED,MEDIFAST INC Common Stock,$18.77,0.51,2.793%,205295336.00,United States,,171271,Consumer Staples,Packaged Foods
MGPI,MGP Ingredients Inc.,$83.43,1.63,1.993%,1834500054.00,United States,,201243,Consumer Staples,Beverages (Production/Distribution)
MKC,McCormick & Company Incorporated Common Stock,$83.17,0.58,0.702%,22341968494.00,United States,,1408422,Consumer Staples,Packaged Foods
MNST,Monster Beverage Corporation,$49.91,0.26,0.524%,48889039393.00,United States,,4100682,Consumer Staples,Beverages (Production/Distribution)
MSN,Emerson Radio Corporation Common Stock,$0.4502,0.0002,0.044%,9473402.00,United States,1994,7775,Consumer Staples,Consumer Electronics/Appliances
MSS,Maison Solutions Inc. Class A Common Stock,$0.7375,0.00,0.00%,12869726.00,United States,2023,14710,Consumer Staples,Food Chains
NAPA,The Duckhorn Portfolio Inc. Common Stock,$5.73,0.11,1.957%,842610206.00,United States,2021,997368,Consumer Staples,Beverages (Production/Distribution)
NCRA,Nocera Inc. Common Stock,$0.9293,0.00,0.00%,12672852.00,Taiwan,,2663,Consumer Staples,Farming/Seeds/Milling
NGVC,Natural Grocers by Vitamin Cottage Inc. Common Stock,$27.93,0.66,2.42%,636625052.00,United States,2012,60663,Consumer Staples,Food Chains
NOMD,Nomad Foods Limited Ordinary Shares,$19.13,0.11,0.578%,3121387273.00,United Kingdom,2016,596144,Consumer Staples,Packaged Foods
OTLY,Oatly Group AB American Depositary Shares,$0.8805,-0.0055,-0.621%,523950556.00,Sweden,2021,883799,Consumer Staples,Packaged Foods
PEP,PepsiCo Inc. Common Stock,$177.25,1.47,0.836%,243465707900.00,United States,,4222360,Consumer Staples,Beverages (Production/Distribution)
PETS,PetMed Express Inc. Common Stock,$3.58,0.19,5.605%,73750334.00,United States,,253871,Consumer Staples,Retail-Drug Stores and Proprietary Stores
PLAG,Planet Green Holdings Corp. Common Stock,$1.60,0.00,0.00%,11652342.00,China,,88,Consumer Staples,Packaged Foods
POST,Post Holdings Inc. Common Stock,$114.42,0.19,0.166%,6685277525.00,United States,2012,465884,Consumer Staples,Packaged Foods
PPC,Pilgrim's Pride Corporation Common Stock,$41.27,-0.74,-1.761%,9786069347.00,United States,,1614643,Consumer Staples,Meat/Poultry/Fish
PRMW,Primo Water Corporation Common Stock,$23.58,0.33,1.419%,3780180210.00,Canada,,1320183,Consumer Staples,Beverages (Production/Distribution)
RGF,The Real Good Food Company Inc. Class A Common Stock,$0.4194,0.0115,2.819%,14127155.00,United States,2021,21309,Consumer Staples,Packaged Foods
RIME,Algorhythm Holdings Inc. Common Stock,$0.64,0.04,6.667%,6231584.00,United States,,48570,Consumer Staples,Diversified Electronic Products
RKDA,Arcadia Biosciences Inc. Common Stock,$2.78,-0.08,-2.797%,3788695.00,United States,2015,18346,Consumer Staples,Farming/Seeds/Milling
RMCF,Rocky Mountain Chocolate Factory Inc. Common Stock,$1.77,0.068,3.995%,13434300.00,United States,,8077,Consumer Staples,Specialty Foods
SAM,Boston Beer Company Inc. (The) Common Stock,$269.79,3.33,1.25%,3160766562.00,United States,,151057,Consumer Staples,Beverages (Production/Distribution)
SANW,S&W Seed Company Common Stock (NV),$0.2461,0.0122,5.216%,10666933.00,United States,,141939,Consumer Staples,Farming/Seeds/Milling
SBEV,Splash Beverage Group Inc. (NV) Common Stock,$0.26,-0.0041,-1.552%,14941618.00,,2021,288222,Consumer Staples,Beverages (Production/Distribution)
SEED,Origin Agritech Limited Common Stock,$2.57,0.11,4.472%,16280945.00,China,,29825,Consumer Staples,Farming/Seeds/Milling
SENEA,Seneca Foods Corp. Class A Common Stock,$60.20,0.29,0.484%,417291109.00,United States,,10319,Consumer Staples,Packaged Foods
SENEB,Seneca Foods Corp. Class B Common Stock,$59.95,0.35,0.587%,415558173.00,United States,,768,Consumer Staples,Packaged Foods
SFM,Sprouts Farmers Market Inc. Common Stock,$101.73,1.03,1.023%,10186275663.00,United States,2013,928230,Consumer Staples,Food Chains
SJM,The J.M. Smucker Company Common Stock,$117.98,0.49,0.417%,12553806072.00,United States,,778919,Consumer Staples,Packaged Foods
SMPL,The Simply Good Foods Company Common Stock,$33.37,0.03,0.09%,3341533448.00,United States,,469136,Consumer Staples,Packaged Foods
SNAX,Stryve Foods Inc. Class A Common Stock,$1.44,0.05,3.597%,4816731.00,United States,2019,6339,Consumer Staples,Packaged Foods
SNAXW,Stryve Foods Inc. Warrant,$0.0088,0.0053,151.429%,29436.00,United States,2019,4468,Consumer Staples,Packaged Foods
SONO,Sonos Inc. Common Stock,$11.24,0.09,0.807%,1360151164.00,United States,2018,4054173,Consumer Staples,Consumer Electronics/Appliances
SONY,Sony Group Corporation American Depositary Shares ,$93.62,-0.15,-0.16%,114352044707.00,Japan,,379385,Consumer Staples,Consumer Electronics/Appliances
SOWG,Sow Good Inc. Common Stock,$10.32,-0.33,-3.099%,105732404.00,United States,,71273,Consumer Staples,Packaged Foods
STKH,Steakholder Foods Ltd. American Depositary Shares,$2.62,-0.03,-1.132%,7166014.00,Israel,2021,6978,Consumer Staples,Packaged Foods
STZ,Constellation Brands Inc. Common Stock,$251.71,2.92,1.174%,45866085732.00,United States,,695222,Consumer Staples,Beverages (Production/Distribution)
SYNX,Silynxcom Ltd. Ordinary Shares,$3.20,-0.10,-3.03%,16800000.00,,2024,13833,Consumer Staples,Consumer Electronics/Appliances
TAP,Molson Coors Beverage Company Class B Common Stock,$54.31,0.47,0.873%,10598799294.00,Canada,,1101694,Consumer Staples,Beverages (Production/Distribution)
TBBB,BBB Foods Inc. Class A Common Shares,$30.03,0.93,3.196%,3369388583.00,,2024,826962,Consumer Staples,Food Chains
THS,Treehouse Foods Inc. Common Stock,$41.64,0.75,1.834%,2161116000.00,United States,,340050,Consumer Staples,Packaged Foods
TR,Tootsie Roll Industries Inc. Common Stock,$32.53,0.55,1.72%,2326614043.00,United States,,123264,Consumer Staples,Specialty Foods
TSN,Tyson Foods Inc. Common Stock,$61.68,0.03,0.049%,21947575773.00,United States,,2149168,Consumer Staples,Meat/Poultry/Fish
TWG,Top Wealth Group Holding Limited Ordinary Shares,$0.96,0.0264,2.828%,27840000.00,Hong Kong,2024,16574,Consumer Staples,Packaged Foods
UEIC,Universal Electronics Inc. Common Stock,$8.56,0.13,1.542%,111107739.00,United States,1993,29020,Consumer Staples,Consumer Electronics/Appliances
UTZ,Utz Brands Inc Class A Common Stock ,$17.52,0.23,1.33%,2468202217.00,United States,2018,369040,Consumer Staples,Packaged Foods
VINE,Fresh Vine Wine Inc. Common Stock,$0.5288,-0.0112,-2.074%,8448229.00,,2021,291995,Consumer Staples,Beverages (Production/Distribution)
VITL,Vital Farms Inc. Common Stock,$30.65,-0.70,-2.233%,1320982695.00,United States,2020,715198,Consumer Staples,Packaged Foods
VLGEA,Village Super Market Inc. Class A Common Stock,$32.03,0.43,1.361%,473679563.00,United States,,18509,Consumer Staples,Food Chains
VZIO,VIZIO Holding Corp. Class A Common Stock,$11.12,-0.01,-0.09%,2234259946.00,United States,2021,2056426,Consumer Staples,Consumer Electronics/Appliances
WBA,Walgreens Boots Alliance Inc. Common Stock,$8.84,0.10,1.144%,7631351327.00,United States,,15946945,Consumer Staples,Retail-Drug Stores and Proprietary Stores
WEST,Westrock Coffee Company Common Stock,$7.28,-0.10,-1.355%,643302733.00,United States,,589721,Consumer Staples,Beverages (Production/Distribution)
WESTW,Westrock Coffee Company Warrants,$2.05,-0.11,-5.093%,181149808.00,United States,,7562,Consumer Staples,Beverages (Production/Distribution)
WEYS,Weyco Group Inc. Common Stock,$32.62,-0.22,-0.67%,309586014.00,United States,,4611,Consumer Staples,Apparel
WMK,Weis Markets Inc. Common Stock,$67.61,0.86,1.288%,1818603731.00,United States,,61833,Consumer Staples,Food Chains
WVVI,Willamette Valley Vineyards Inc. Common Stock,$3.70,-0.0399,-1.067%,18368757.00,United States,,701,Consumer Staples,Beverages (Production/Distribution)
WVVIP,Willamette Valley Vineyards Inc. Series A Redeemable Preferred Stock,$3.81,0.00,0.00%,18914855.00,United States,,4,Consumer Staples,Beverages (Production/Distribution)
YI,111 Inc. American Depositary Shares,$0.6167,-0.0333,-5.123%,52829187.00,China,2018,80690,Consumer Staples,Retail-Drug Stores and Proprietary Stores
YOTA,Yotta Acquisition Corporation Common Stock,$11.06,0.00,0.00%,0.00,United States,2022,1794,Consumer Staples,Farming/Seeds/Milling
YOTAR,Yotta Acquisition Corporation Right,$0.13,0.00,0.00%,0.00,United States,2022,6755,Consumer Staples,Farming/Seeds/Milling
YOTAW,Yotta Acquisition Corporation Warrant,$0.0276,0.0002,0.73%,0.00,United States,2022,181,Consumer Staples,Farming/Seeds/Milling
ZVIA,Zevia PBC Class A Common Stock,$1.01,-0.01,-0.98%,73439731.00,United States,2021,45075,Consumer Staples,Beverages (Production/Distribution)
