symbol,company,10차표준(세분류),주요상품,영업현황
A006400,삼성SDI,일차전지 및 축전지 제조업,"2차전지, 전자재료 제조 판매","
매출 증가에도 이익 감소

동사는 중ㆍ대형전지, 소형전지 등의 리튬이온 2차 전지를 생산/판매하는 에너지솔루션 사업부문과 반도체 및 디스플레이 소재 등을 생산/판매하는 전자재료 사업부문을 영위함. 자동차용 중형전지는 고효율, 고용량 리튬이온 2차전지를 개발하고 이를 자동차 완성업체에 공급함. 소형전지는 원형, 파우치 등의 제품을 개발 및 판매하고 있으며 이는  스마트폰, Note PC, 전동공구 등의  휴대 제품 뿐만 아니라 자동차용 전지에도 사용됨.2023년 12월 전년동기 대비 연결기준 매출액은 12.8% 증가, 영업이익은 9.7% 감소, 당기순이익은 2.9% 증가. 영업이익은 1조 6,334억원으로 전년 대비 9.7% 감소하였지만 매출은 사상최대 실적을 달성하는데 성공함. 전자재료 사업부문은 시장에 따라 매출과 영업이익에 영향이 있었으나, OLED용 소재 판매 확대와 편광필름 제조 경쟁력 확보 등 어려움 속에서도  미래 성장을 위한 기반을 마련함.

"
A035720,카카오,포털 및 기타 인터넷 정보매개 서비스업,인터넷 서비스(인터넷 광고),"
매출 호조에도 이익 감소

국내 시장 점유율 1위 메신저 카카오톡을 중심으로 커머스, 모빌리티, 페이, 게임, 뮤직, 콘텐츠 등 다양한 영역에서 수익을 창출하고 있음. 국내 이동의 혁신을 가져오고 있는 카카오모빌리티와 금융 습관의 패러다임을 바꾸고 있는 카카오페이도 주목할 만한 계열사. 카카오엔터테인먼트와 카카오픽코마, 에스엠엔터테인먼트 등의 계열사를 통해 콘텐츠 사업 역량도 강화하고 있음.2023년 12월 전년동기 대비 연결기준 매출액은 11.2% 증가, 영업이익은 19.1% 감소, 당기순이익 적자전환. 카카오 본체사업의 성장세 유지, 종속회사들의 실적개선으로 매출액은 증가하였으나, 영업권손상 및 PPA무형자산 손상차손 인식으로 당기순손실 기록. 2023년 12월 기준 카카오톡 국내 월간 활성 이용자수는 4,800만명을 기록, 전국민 플랫폼의 위치를 공고히 하며 종합 커뮤니케이션 서비스로로 진화중임.

"
A028260,삼성물산,기타 전문 도매업,"도소매, 건설, 남자용 정장 제조업 등","
견고한 포트폴리오로 실적 호조 지속

동사는 1938년 설립되었으며 2015년 삼성물산과 제일모직을 합병하였음 . 건설/상사/패션/리조트/급식·식자재유통/바이오 산업을아우르는 Global Business Partner 및 Lifestyle Innovator로 더욱 성장해나가고 있음. 매출비중은 23년 3분기 기준 건설부문 46%, 상사부문 33%, 패션부문 4.7%, 리조트부문 1.8%, 급식/식자재유통 6.6%, 바이오부문 8.2%을 차지2023년 12월 전년동기 대비 연결기준 매출액은 2.9% 감소, 영업이익은 13.5% 증가, 당기순이익은 8.5% 증가. 23년은 글로벌 경기 둔화 우려 속에서도 각 사업별 레벨업 된 경쟁력 바탕으로 견고한 실적 달성. 24년에는 다각화된 포트폴리오 기반으로 안정적 사업운영을 지속하여 전년 수준 매출을 유지하고, 각 사업별 경쟁력을 바탕으로 수익성을 강화해 나갈 계획

"
A105560,KB금융,그 외 기타 금융업,,"
이자이익과 비이자이익의 균형잡힌 개선

2008년 설립된 KB금융그룹의 지주회사로서 높은 브랜드 인지도를 바탕으로 은행, 카드, 증권, 생명보험, 손해보험, 저축은행 등 다양한 금융 사업을 영위함. 2020년 푸르덴셜생명을 종속기업으로 편입, 2023년 기존 KB생명보험과 합병함. 2023년 KB신용정보 지분을 국민카드에 매각함. WM, 글로벌, 자본시장부문을 신성장 영역으로 집중 육성하고, 디지털금융 강화 전략으로 No.1 금융플랫폼기업으로 도약하기 위해 노력 중임.그룹 총자산은 우량 기업대출 중심 원화대출금 성장을 통해 전년대비 27조 73십억원 증가한 715조 738십억원을 달성함. 자산성장 및 NIM 개선으로 이자이익이 증가하였고, 효율적인 시장변화 대응으로 자본시장손익 개선되면서 보수적인 충당금 적립에도 불구하고 당기순이익은 전년 대비 11.5% 증가함. 경기둔화 및 고금리 장기화에 따라 연결기준 고정이하여신비율은 1.01%로 전년 대비 0.31%p 상승함.

"
A247540,에코프로비엠,일차전지 및 축전지 제조업,양극활물질,"
EV용 양극재 성장세 지속 중

동사는 2016년 5월 1일을 분할기일로 하여 에코프로의 이차전지소재 사업부문이 물적분할되어 신설되었음. 2019년 3월 코스닥 시장에 상장하였음. 2013년 하이니켈계 양극소재 중심으로 사업을 재편한 이후 NCA 분야에서 시장점유율을 꾸준히 높여 왔음. 글로벌 Non-IT용 NCA 양극재 수요 확대와 국내외 EV용 하이니켈계 양극재 판매 호조가 계속되는 가운데 세계 시장 점유율을 지속적으로 확대해나가고 있음.2023년 12월 전년동기 대비 연결기준 매출액은 28.8% 증가, 영업이익은 59% 감소, 당기순이익 적자전환. 주요국의 전기차 보조금 축소, 얼리어답터의 전기차 구매 포화, 건설경기 둔화로 인한 파워툴용 양극재 판매 부진 등 악재 속에서 EV용 양극재가 성장을 견인함. 동사는 100% 지분을 보유한 주식회사 에코프로글로벌을 흡수합병함에 따라 에코프로글로벌은 소멸함.

"
A055550,신한지주,그 외 기타 금융업,금융지주회사,"
일회성 비용 증가로 순이익 감소

동사는 신한금융 계열사에 대한 지배/경영관리, 종속회사에 대한 자금지원 등을 주요 사업목적으로 2001년 설립된 금융지주회사임. 종속회사의 주요 사업부문은 은행업, 신용카드업, 금융투자업, 생명보험업, 자산운용업, 여신전문업, 저축은행업 등이 있음. 신한은행 외에도 전반적으로 우수한 자회사 사업 지위를 토대로 한 균형 있는 사업포트폴리오 기반의 안정적인 이익창출력 유지 중임. 21년 1월 신한자산운용을 완전자회사로 편입함.인플레이션에 따른 판관비 증가와 전년 동기에 인식했던 증권 사옥 매각이익 소멸, 금융시장 불확실성 및 변동성에 따른 경상 및 추가충당금 적립으로 당기순이익은 감소함. 일회성 비용의 대부분은 부동산 PF시장의 연착륙을 유도하기 위한 선제적 충당금 적립과 소상공인의 금리 부담을 완화하기 위한 상생금융 지원임. 비은행 부문 손익비중은 35.0%로 다소 성장이 둔화되고 있으나, 사업 포트폴리오 다변화 정책은 지속적으로 유지하고 있음.

"
A003670,포스코퓨처엠,일차전지 및 축전지 제조업,"내화물, 생석회, 음극재 및 양극재","
에너지부문의 눈에 띄는 성장

동사의 주요 사업은 이차전지소재, 첨단화학소재, 산업기초소재로, 이차전지용 양극재와 음극재, 탄소소재 원료와 제품, 내화물과 생석회 등을 제조, 판매함. 포스코그룹 계열의 소재 전문회사로 2021년 약 1조 2천 7백억원의 유상증자를 통해 대규모 투자 재원을 확보함. 이차전지소재 분야에서 포스코 그룹의 리튬, 니켈 등 원료, 이차전지소재연구센터 등 R&D 인프라, 글로벌 마케팅 네트워크를 연계해 사업경쟁력을 높여 나가고 있음.2023년 12월 전년동기 대비 연결기준 매출액은 44.2% 증가, 영업이익은 78.4% 감소, 당기순이익은 75.7% 감소. 전방산업인 이차전지산업의 활황으로 에너지소재부문의 실적 크게 상승하였으나, 원가율 상승 및 각종 비용 증가 여파로 수익성은 다소 하락한 상황. LG에너지솔루션, 포스코, OCI 등 대형 거래선을 기반으로 한 안정적 수주를 바탕으로 향후 꾸준한 성장세 계속 유지할 것으로 전망되고 있음.

"
A012330,현대모비스,자동차 신품 부품 제조업,"자동차A/S용 부품,컨테이너,특수중기,산업기계제품 생산,판매,부품모듈화,부품수출사업,환경/플랜트사업,특수중기부문(컨테이너)","
안정적인 성장 지속 기대

동사는 1977년 6월 설립되었으며, 1989년 9월 5일 한국거래소 유가증권시장에 주식을 상장하였음. 고무용 도료 기술로 출발해 폴리우레탄 수지 및 전자, 자동차, 생명과학 등에 사용되는 다양한 정밀화학제품을 생산 및 판매하는 것을 목적사업으로 함. A/S부품 사업을 영위함. A/S용 부품사업은 부품의 책임공급을 위한 물류센터 등의 대단위 인프라 구축과 244개차종, 270만품목을 관리함.2023년 12월 전년동기 대비 연결기준 매출액은 14.2% 증가, 영업이익은 13.3% 증가, 당기순이익은 37.7% 증가. 코로나19로 인한 기저효과와 전방산업의 부진 탈피 등으로 비교적 양호한 실적 시현. 중장기적으로 안정적인 성장 흐름 유지하고 있음. 현대/기아차에 새시/캇핏/프런트엔드모듈 등 3대 핵심모듈과 제동/조향/램프/에어백 등 핵심부품과 각종 미래 핵심부품 등을 공급하고 있어 지속 성장 가능할 것으로 기대.

"
A066570,LG전자,통신 및 방송 장비 제조업,"이동통신단말기,C-TV,V.C.R.,컴퓨터,완전평면 TV,플라즈마 디스플레이 패널 TV,전자제품(세탁기외),CDMA(코드분할다중접속)이동통신,전자교환기,전송기기","
글로벌 악재 속에서 양호한 실적

동사와 종속기업의 주요사업부문은 Home Appliance & Air 솔루션, Home Entertainment, Mobile Communications, Vehicle component 솔루션 등 6개로 구분. OLED TV는 초슬림, 월페이퍼, 롤러블 TV 등 지속적인 혁신 제품 출시로 프리미엄 시장을 지속 선도하고 있음. 디스플레이 오디오와 내비게이션 영역에서는 동사의 디스플레이 및 소프트웨어 역량을 활용하여 제품 차별화중.2023년 12월 전년동기 대비 연결기준 매출액은 0.9% 증가, 영업이익은 0.1% 감소, 당기순이익은 40.4% 감소. 금리 인상과 유가 상승 등으로 소비 심리 위축 및 소비 양극화도 심화 중이며, 특히 엔데믹 전환에 따라 TV/IT 제품 등의 B2C 소비자 가전 시장의 수요 감소가 크게 나타남. webOS 플랫폼, 렌탈/구독 등을 포함한 Non-HW 매출 성장, 시장별 Price 커버리지 확대 등 전년 수준의 실적을 달성함.

"
A086520,에코프로,회사 본부,"환경소재,화학필터,이차전지소재등","
외형확대, 수익성 악화

동사는 대기오염방지, 친환경소재 및 2차전지소재의 제조와 판매를 목적으로 1998년 설립되었으며, 2016년 2차전지소재 사업부문을 물적분할하여 에코프로비엠을 신설하였음. 또한 2021년 대기오염방지 및 친환경소재 사업부문을 인적분할하여 에코프로에이치엔을 신설한 뒤, 지주회사로 전환하였음. 종속회사의 사업부문은 전지재료사업부문, 환경사업부문, 기타사업부문으로 구성됨.2023년 12월 전년동기 대비 연결기준 매출액은 28.7% 증가, 영업이익은 51.4% 감소, 당기순이익은 41.5% 증가. 동사와 동사의 자회사들은 원가 경쟁력을 확보할 수 있는 다양한 원재료 및 판매처 확보 노력 등을 통해 불안정성을 해소하고자 지속적으로 노력하였음. 2024년 동사는 다양한 방면에서의 경쟁력 확보를 통해 지속적인 성장을 이어 나갈 예정임.

"
A086790,하나금융지주,그 외 기타 금융업,기타 금융,"
이자이익 선방, 비이자이익 급증

2005년 설립된 하나금융그룹 지주회사로서 자회사 지배 및 경영관리, 자금공여 등의 업무를 수행함. 하나금융그룹은 지주사인 동사를 중심으로 하나은행, 하나증권, 하나카드, 하나캐피탈, 하나생명, 하나손해보험을 비롯한 14개의 자회사와 전세계 25개국의 글로벌 네트워크를 가지고 있음. 그룹통합멤버십인 '하나멤버스'를 금융권 최초로 개발했으며, 모바일 금융 앱 '하나원큐'는 다양한 금융 서비스를 한번의 로그인만으로 가능하게 함.일반영업이익이 6.8% 증가했음에도 불구하고 손실흡수능력 확충을 위한 선제적 충당금과 민생금융 지원 등의 비경상적 비용 인식으로 당기순이익은 전년 대비 소폭 감소함. 선제적 자산증대을 통하여 그룹의 이자이익은 전년 수준으로 방어하였으며, 은행과 카드를 합한 그룹 NIM은 전년대비 1bp 감소한 1.82%를 기록함. 수수료이익과 매매평가이익을 중심으로 그룹의 비이자이익은 전년 대비 70.9% 증가한 1조 9,723억원을 시현함.

"
A011200,HMM,외항 운송업,"정기,부정기,전용선,콘테이너선,자동차선,LNG선 해운","
해운시황 약세 영향

종합해운물류기업으로, 일반화물과 냉동화물, 특수화물 등 컨테이너로 운반 가능한 모든 화물, 원자재와 원유, 플랜트 등 벌크화물까지 상품 특성에 맞는 물류 서비스를 제공함. 소형선부터 초대형 컨테이너선, VLCC를 포함한 선대와 전세계를 연결하는 항로망을 바탕으로 최적화된 물류솔루션을 보유함. 다각화된 사업 영역을 영위하며, 특정 분야의 시황 변동에도 안정적인 수익을 창출할 수 있는 사업 구조를 확보하고 있음.2023년 12월 전년동기 대비 연결기준 매출액은 54.8% 감소, 영업이익은 94.1% 감소, 당기순이익은 90.4% 감소. 컨테이너선 시장은 2022년 하반기부터 본격화된 운임의 약세가 2023년에도 이어지며, 매출액 및 영업이익률이 하락함. 미국 고금리 및 경기침체로 인한 수요 감소와 대규모 신조선 유입으로 인한 공급 증가 영향으로 컨테이너 시황은 전반적으로 하방 압력을 받을 것으로 전망됨.

"
A138040,메리츠금융지주,그 외 기타 금융업,투자사업,"
컨센서스 하회

2011년 3월 메리츠화재해상보험에서 인적 분할하여 설립된 국내 최초의 유일한 보험지주회사임. 동사는 독자적인 사업을 영위하지 않는 순수지주회사이며, 주요 종속회사로 메리츠화재해상보험, 메리츠증권, 메리츠자산운용, 메리츠대체투자운용 등이 있음. 22년 11월, 효율적인 자본배분을 위해 메리츠화재와 메리츠증권을 지분율 100%의 완전 자회사로 편입하고, 순이익의 50%에 달하는 주주환원 정책을 발표함.2023년 12월 전년동기 대비 연결기준 매출액은 12.9% 감소, 영업이익은 1.4% 증가, 당기순이익은 46.7% 증가. 4분기 실적은 대체투자 자산의 충당금 적립 및 손실 반영으로 컨센서스를 하회함. 부동산PF 누적 충당금 2,905억원, 해외부동산 평가손 1,558억원 반영. 23년 총주주 환원액 1조 883억원, 환원율 51% 수준임. 환원율이 매우 높은 수준이고, 시장과 지속적인 소통으로 자본정책의 예측 가능성도 높음.

"
A323410,카카오뱅크,일반은행,은행 및 금융서비스,"
가파른 대출 성장률과 이자수익 성장세

동사는 2017년 4월 '은행법'에 근거하여 은행업 본인가를 취득하였으며, 당해 7월부터 모바일 앱 기반의 사업을 영위함. 100% 모바일 기반의 혁신적인 UX, 유저 중심의 상품 및 혜택, IT 기술의 적극적인 활용 등의 강점을 기반으로 소비자의 효용과 편의성을 개선시키면서 금융산업의 혁신을 주도하는 플랫폼으로 성장. 모바일 앱 기반의 디지털 플랫폼 사업자로서 금융업 뿐 아니라 비금융업 전반에 걸친 여러 파트너사들과 제휴.2023년 12월 전년동기 대비 별도기준 매출액은 55.3% 증가, 영업이익은 35.5% 증가, 당기순이익은 34.9% 증가. 예대율 개선으로 전분기 대비하여 NIM +5bp 상승함.30% 후반대의 높은 대출 성장률을 이뤄냄. 2023년 4분기 기준 고객수는 2284만명으로 증가했고, MAU도 1,738만으로 시장 리드 중임. 플랫폼 비즈니스의 영향력 강화와 플랫폼 수익이 기대됨.

"
A032830,삼성생명,생명 보험업,"생명보험,부동산 임대","
컨센서스 상회

1957년에 설립되어 업계 최대의 전속 설계사 조직과 계리 전문인력을 보유하고 있는 삼성그룹 계열의 생명보험사. 보장성 및 연금/저축성 보험상품 서비스 제공을 주요 사업으로 하며, 압도적인 브랜드 파워와 안정적인 영업 기반을 바탕으로 업계 최상위 시장 지위를 유지하고 있음. 연결대상 주요 종속회사로 삼성카드, 삼성자산운용, 삼성생명 태국법인, 북경삼성치업유한공사, 삼성SRA자산운용 등이 있음.2023년 12월 전년동기 대비 연결기준 매출액은 10% 감소, 영업이익은 10% 증가, 당기순이익은 12.7% 감소. 4분기 보험손익 2033억원, 투자손익 3986억원으로 시장 컨센서스 상회. 투자부문 일회성 이익을 제외하더라도 계절성을 감안하면 양호한 실적. 23년 4분기말 K-ICS비율이 높고, 배당가능 이익도 충분하며 향후 CSM 및 이익 성장이 예상되어 주주환원 확대 여력 또한 높음.

"
A034730,SK,회사 본부,"지주회사, 시스템통합(SI), 정보통신사업 관련 컨설팅,조사용역,정보통신기술 연구개발/정보통신기기,소프트웨어 개발,도매","
주요 자회사들의 실적 부진

1991년 설립, 2009년 유가증권 상장. 2015년 8월 (구)SK를 흡수합병하고 사명을 SK C&C에서 SK로 변경함. SK그룹의 지주사임. 주요 사업은 별도 재무제표 기준으로 자회사의 제반사업 내용을 관리하는 지주사업 및 IT서비스 등을 영위하는 사업부문으로 구분됨. 연결대상 종속회사는 SK이노베이션, SK텔레콤, SK네트웍스, SKC, SK바이오팜, SK렌트카, 인크로스 등 총 694개사임.석유화학제품 마진하락 등에 따른 SK이노베이션 이익 감소, 반도체 업황 부진에 따른 SK하이닉스, SK스퀘어 적자전환, 전방산업 부진에 따른 SKC 수익 악화 등 주요 자회사들의 실적이 부진함. SK이노베인션은 배터리 사업의 역대 최대 매출 달성에도 불구하고 유가 하락과 동반한 석유제품가 하락 영향으로 저조한 실적을 나타냄. SKT는 5G 가입자와 SKB의 유료방송 가입자 증가 외에도 B2B 사업을 중심으로 매출과 이익이 증가함.

"
